Month,Agency,Projection,Recovery
12/01/2021,MTA Consolidated,Worst Case (Nov 2020),0.36
12/01/2021,MTA Consolidated,Best Case (Dec 2020),0.79
12/01/2021,MTA Consolidated,Midpoint (Dec 2020),0.57
12/01/2021,MTA Consolidated,Worst Case (Dec 2020),0.35
01/01/2022,Subway,Best Case (Dec 2020),0.83
01/01/2022,Subway,Midpoint (Dec 2020),0.67
01/01/2022,Subway,Worst Case (Dec 2020),0.51
01/01/2022,Bus,Best Case (Dec 2020),0.87
01/01/2022,Bus,Midpoint (Dec 2020),0.725
01/01/2022,Bus,Worst Case (Dec 2020),0.58
01/01/2022,LIRR,Best Case (Dec 2020),0.75
01/01/2022,LIRR,Midpoint (Dec 2020),0.605
01/01/2022,LIRR,Worst Case (Dec 2020),0.46
01/01/2022,MNR,Best Case (Dec 2020),0.69
01/01/2022,MNR,Midpoint (Dec 2020),0.55
01/01/2022,MNR,Worst Case (Dec 2020),0.41
01/01/2022,SIR,Best Case (Dec 2020),0.83
01/01/2022,SIR,Midpoint (Dec 2020),0.67
01/01/2022,SIR,Worst Case (Dec 2020),0.51
01/01/2022,BT,Best Case (May 2020),0.85
01/01/2022,BT,Midpoint (May 2020),0.775
01/01/2022,BT,Worst Case (May 2020),0.7
01/01/2022,BT,Best Case (Nov 2020),0.98
01/01/2022,BT,Midpoint (Nov 2020),0.92
01/01/2022,BT,Worst Case (Nov 2020),0.86
01/01/2022,BT,Best Case (Dec 2020),0.98
01/01/2022,BT,Midpoint (Dec 2020),0.92
01/01/2022,BT,Worst Case (Dec 2020),0.86
01/01/2022,MTA Consolidated,Best Case (May 2020),0.85
01/01/2022,MTA Consolidated,Midpoint (May 2020),0.725
01/01/2022,MTA Consolidated,Worst Case (May 2020),0.6
01/01/2022,MTA Consolidated,Best Case (Nov 2020),0.8
01/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.595
01/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.39
01/01/2022,MTA Consolidated,Best Case (Dec 2020),0.84
01/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.68
01/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.52
02/01/2022,Subway,Best Case (Dec 2020),0.83
02/01/2022,Subway,Midpoint (Dec 2020),0.67
02/01/2022,Subway,Worst Case (Dec 2020),0.51
02/01/2022,Bus,Best Case (Dec 2020),0.87
02/01/2022,Bus,Midpoint (Dec 2020),0.725
02/01/2022,Bus,Worst Case (Dec 2020),0.58
02/01/2022,LIRR,Best Case (Dec 2020),0.75
02/01/2022,LIRR,Midpoint (Dec 2020),0.605
02/01/2022,LIRR,Worst Case (Dec 2020),0.46
02/01/2022,MNR,Best Case (Dec 2020),0.69
02/01/2022,MNR,Midpoint (Dec 2020),0.55
02/01/2022,MNR,Worst Case (Dec 2020),0.41
02/01/2022,SIR,Best Case (Dec 2020),0.83
02/01/2022,SIR,Midpoint (Dec 2020),0.67
02/01/2022,SIR,Worst Case (Dec 2020),0.51
02/01/2022,BT,Best Case (May 2020),0.85
02/01/2022,BT,Midpoint (May 2020),0.8
02/01/2022,BT,Worst Case (May 2020),0.75
02/01/2022,BT,Best Case (Nov 2020),0.98
02/01/2022,BT,Midpoint (Nov 2020),0.92
02/01/2022,BT,Worst Case (Nov 2020),0.86
02/01/2022,BT,Best Case (Dec 2020),0.98
02/01/2022,BT,Midpoint (Dec 2020),0.92
02/01/2022,BT,Worst Case (Dec 2020),0.86
02/01/2022,MTA Consolidated,Best Case (May 2020),0.85
02/01/2022,MTA Consolidated,Midpoint (May 2020),0.725
02/01/2022,MTA Consolidated,Worst Case (May 2020),0.6
02/01/2022,MTA Consolidated,Best Case (Nov 2020),0.8
02/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.595
02/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.39
02/01/2022,MTA Consolidated,Best Case (Dec 2020),0.84
02/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.68
02/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.52
03/01/2022,Subway,Best Case (Dec 2020),0.83
03/01/2022,Subway,Midpoint (Dec 2020),0.67
03/01/2022,Subway,Worst Case (Dec 2020),0.51
03/01/2022,Bus,Best Case (Dec 2020),0.87
03/01/2022,Bus,Midpoint (Dec 2020),0.725
03/01/2022,Bus,Worst Case (Dec 2020),0.58
03/01/2022,LIRR,Best Case (Dec 2020),0.75
03/01/2022,LIRR,Midpoint (Dec 2020),0.605
03/01/2022,LIRR,Worst Case (Dec 2020),0.46
03/01/2022,MNR,Best Case (Dec 2020),0.69
03/01/2022,MNR,Midpoint (Dec 2020),0.55
03/01/2022,MNR,Worst Case (Dec 2020),0.41
03/01/2022,SIR,Best Case (Dec 2020),0.83
03/01/2022,SIR,Midpoint (Dec 2020),0.67
03/01/2022,SIR,Worst Case (Dec 2020),0.51
03/01/2022,BT,Best Case (May 2020),0.85
03/01/2022,BT,Midpoint (May 2020),0.825
03/01/2022,BT,Worst Case (May 2020),0.8
03/01/2022,BT,Best Case (Nov 2020),0.98
03/01/2022,BT,Midpoint (Nov 2020),0.92
03/01/2022,BT,Worst Case (Nov 2020),0.86
03/01/2022,BT,Best Case (Dec 2020),0.98
03/01/2022,BT,Midpoint (Dec 2020),0.92
03/01/2022,BT,Worst Case (Dec 2020),0.86
03/01/2022,MTA Consolidated,Best Case (May 2020),0.85
03/01/2022,MTA Consolidated,Midpoint (May 2020),0.725
03/01/2022,MTA Consolidated,Worst Case (May 2020),0.6
03/01/2022,MTA Consolidated,Best Case (Nov 2020),0.8
03/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.595
03/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.39
03/01/2022,MTA Consolidated,Best Case (Dec 2020),0.84
03/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.68
03/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.52
04/01/2022,Subway,Best Case (Dec 2020),0.86
04/01/2022,Subway,Midpoint (Dec 2020),0.745
04/01/2022,Subway,Worst Case (Dec 2020),0.63
04/01/2022,Subway,Best Case (Apr 2022),0.572
04/01/2022,Subway,Midpoint (Apr 2022),0.5642
04/01/2022,Subway,Worst Case (Apr 2022),0.556
04/01/2022,Bus,Best Case (Dec 2020),0.87
04/01/2022,Bus,Midpoint (Dec 2020),0.78
04/01/2022,Bus,Worst Case (Dec 2020),0.69
04/01/2022,Bus,Best Case (Apr 2022),0.615
04/01/2022,Bus,Midpoint (Apr 2022),0.6011
04/01/2022,Bus,Worst Case (Apr 2022),0.588
04/01/2022,LIRR,Best Case (Dec 2020),0.79
04/01/2022,LIRR,Midpoint (Dec 2020),0.675
04/01/2022,LIRR,Worst Case (Dec 2020),0.56
04/01/2022,LIRR,Best Case (Apr 2022),0.557
04/01/2022,LIRR,Midpoint (Apr 2022),0.546
04/01/2022,LIRR,Worst Case (Apr 2022),0.535
04/01/2022,MNR,Best Case (Dec 2020),0.74
04/01/2022,MNR,Midpoint (Dec 2020),0.625
04/01/2022,MNR,Worst Case (Dec 2020),0.51
04/01/2022,MNR,Best Case (Apr 2022),0.515
04/01/2022,MNR,Midpoint (Apr 2022),0.5074
04/01/2022,MNR,Worst Case (Apr 2022),0.499
04/01/2022,SIR,Best Case (Dec 2020),0.86
04/01/2022,SIR,Midpoint (Dec 2020),0.745
04/01/2022,SIR,Worst Case (Dec 2020),0.63
04/01/2022,SIR,Best Case (Apr 2022),0.572
04/01/2022,SIR,Midpoint (Apr 2022),0.556
04/01/2022,SIR,Worst Case (Apr 2022),0.556
04/01/2022,BT,Best Case (May 2020),0.9
04/01/2022,BT,Midpoint (May 2020),0.863
04/01/2022,BT,Worst Case (May 2020),0.825
04/01/2022,BT,Best Case (Nov 2020),1
04/01/2022,BT,Midpoint (Nov 2020),0.96
04/01/2022,BT,Worst Case (Nov 2020),0.92
04/01/2022,BT,Best Case (Dec 2020),1
04/01/2022,BT,Midpoint (Dec 2020),0.96
04/01/2022,BT,Worst Case (Dec 2020),0.92
04/01/2022,MTA Consolidated,Best Case (May 2020),0.9
04/01/2022,MTA Consolidated,Midpoint (May 2020),0.75
04/01/2022,MTA Consolidated,Worst Case (May 2020),0.6
04/01/2022,MTA Consolidated,Best Case (Nov 2020),0.84
04/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.66
04/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.48
04/01/2022,MTA Consolidated,Best Case (Dec 2020),0.86
04/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.75
04/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.64
04/01/2022,MTA Consolidated,Best Case (Apr 2022),0.5803
04/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.5706
04/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.561
05/01/2022,Subway,Best Case (Dec 2020),0.86
05/01/2022,Subway,Midpoint (Dec 2020),0.745
05/01/2022,Subway,Worst Case (Dec 2020),0.63
05/01/2022,Subway,Best Case (Apr 2022),0.589
05/01/2022,Subway,Midpoint (Apr 2022),0.5773
05/01/2022,Subway,Worst Case (Apr 2022),0.566
05/01/2022,Bus,Best Case (Dec 2020),0.87
05/01/2022,Bus,Midpoint (Dec 2020),0.78
05/01/2022,Bus,Worst Case (Dec 2020),0.69
05/01/2022,Bus,Best Case (Apr 2022),0.631
05/01/2022,Bus,Midpoint (Apr 2022),0.6139
05/01/2022,Bus,Worst Case (Apr 2022),0.597
05/01/2022,LIRR,Best Case (Dec 2020),0.79
05/01/2022,LIRR,Midpoint (Dec 2020),0.675
05/01/2022,LIRR,Worst Case (Dec 2020),0.56
05/01/2022,LIRR,Best Case (Apr 2022),0.571
05/01/2022,LIRR,Midpoint (Apr 2022),0.5566
05/01/2022,LIRR,Worst Case (Apr 2022),0.542
05/01/2022,MNR,Best Case (Dec 2020),0.74
05/01/2022,MNR,Midpoint (Dec 2020),0.625
05/01/2022,MNR,Worst Case (Dec 2020),0.51
05/01/2022,MNR,Best Case (Apr 2022),0.527
05/01/2022,MNR,Midpoint (Apr 2022),0.5159
05/01/2022,MNR,Worst Case (Apr 2022),0.505
05/01/2022,SIR,Best Case (Dec 2020),0.86
05/01/2022,SIR,Midpoint (Dec 2020),0.745
05/01/2022,SIR,Worst Case (Dec 2020),0.63
05/01/2022,SIR,Best Case (Apr 2022),0.589
05/01/2022,SIR,Midpoint (Apr 2022),0.5658
05/01/2022,SIR,Worst Case (Apr 2022),0.566
05/01/2022,BT,Best Case (May 2020),0.95
05/01/2022,BT,Midpoint (May 2020),0.9
05/01/2022,BT,Worst Case (May 2020),0.85
05/01/2022,BT,Best Case (Nov 2020),1
05/01/2022,BT,Midpoint (Nov 2020),0.96
05/01/2022,BT,Worst Case (Nov 2020),0.92
05/01/2022,BT,Best Case (Dec 2020),1
05/01/2022,BT,Midpoint (Dec 2020),0.96
05/01/2022,BT,Worst Case (Dec 2020),0.92
05/01/2022,MTA Consolidated,Best Case (May 2020),0.95
05/01/2022,MTA Consolidated,Midpoint (May 2020),0.775
05/01/2022,MTA Consolidated,Worst Case (May 2020),0.6
05/01/2022,MTA Consolidated,Best Case (Nov 2020),0.84
05/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.66
05/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.48
05/01/2022,MTA Consolidated,Best Case (Dec 2020),0.86
05/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.75
05/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.64
05/01/2022,MTA Consolidated,Best Case (Apr 2022),0.5965
05/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.5834
05/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.5703
06/01/2022,Subway,Best Case (Dec 2020),0.86
06/01/2022,Subway,Midpoint (Dec 2020),0.745
06/01/2022,Subway,Worst Case (Dec 2020),0.63
06/01/2022,Subway,Best Case (Apr 2022),0.605
06/01/2022,Subway,Midpoint (Apr 2022),0.5904
06/01/2022,Subway,Worst Case (Apr 2022),0.576
06/01/2022,Bus,Best Case (Dec 2020),0.87
06/01/2022,Bus,Midpoint (Dec 2020),0.78
06/01/2022,Bus,Worst Case (Dec 2020),0.69
06/01/2022,Bus,Best Case (Apr 2022),0.648
06/01/2022,Bus,Midpoint (Apr 2022),0.6267
06/01/2022,Bus,Worst Case (Apr 2022),0.605
06/01/2022,LIRR,Best Case (Dec 2020),0.79
06/01/2022,LIRR,Midpoint (Dec 2020),0.675
06/01/2022,LIRR,Worst Case (Dec 2020),0.56
06/01/2022,LIRR,Best Case (Apr 2022),0.585
06/01/2022,LIRR,Midpoint (Apr 2022),0.5673
06/01/2022,LIRR,Worst Case (Apr 2022),0.55
06/01/2022,MNR,Best Case (Dec 2020),0.74
06/01/2022,MNR,Midpoint (Dec 2020),0.625
06/01/2022,MNR,Worst Case (Dec 2020),0.51
06/01/2022,MNR,Best Case (Apr 2022),0.539
06/01/2022,MNR,Midpoint (Apr 2022),0.5245
06/01/2022,MNR,Worst Case (Apr 2022),0.51
06/01/2022,SIR,Best Case (Dec 2020),0.86
06/01/2022,SIR,Midpoint (Dec 2020),0.745
06/01/2022,SIR,Worst Case (Dec 2020),0.63
06/01/2022,SIR,Best Case (Apr 2022),0.605
06/01/2022,SIR,Midpoint (Apr 2022),0.5757
06/01/2022,SIR,Worst Case (Apr 2022),0.576
06/01/2022,BT,Best Case (May 2020),1
06/01/2022,BT,Midpoint (May 2020),0.938
06/01/2022,BT,Worst Case (May 2020),0.875
06/01/2022,BT,Best Case (Nov 2020),1
06/01/2022,BT,Midpoint (Nov 2020),0.96
06/01/2022,BT,Worst Case (Nov 2020),0.92
06/01/2022,BT,Best Case (Dec 2020),1
06/01/2022,BT,Midpoint (Dec 2020),0.96
06/01/2022,BT,Worst Case (Dec 2020),0.92
06/01/2022,MTA Consolidated,Best Case (May 2020),1
06/01/2022,MTA Consolidated,Midpoint (May 2020),0.813
06/01/2022,MTA Consolidated,Worst Case (May 2020),0.625
06/01/2022,MTA Consolidated,Best Case (Nov 2020),0.84
06/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.66
06/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.48
06/01/2022,MTA Consolidated,Best Case (Dec 2020),0.86
06/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.75
06/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.64
06/01/2022,MTA Consolidated,Best Case (Apr 2022),0.6126
06/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.5962
06/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.5797
07/01/2022,Subway,Best Case (Dec 2020),0.88
07/01/2022,Subway,Midpoint (Dec 2020),0.825
07/01/2022,Subway,Worst Case (Dec 2020),0.77
07/01/2022,Subway,Best Case (Apr 2022),0.625
07/01/2022,Subway,Midpoint (Apr 2022),0.6072
07/01/2022,Subway,Worst Case (Apr 2022),0.589
07/01/2022,Bus,Best Case (Dec 2020),0.88
07/01/2022,Bus,Midpoint (Dec 2020),0.83
07/01/2022,Bus,Worst Case (Dec 2020),0.78
07/01/2022,Bus,Best Case (Apr 2022),0.667
07/01/2022,Bus,Midpoint (Apr 2022),0.6421
07/01/2022,Bus,Worst Case (Apr 2022),0.617
07/01/2022,LIRR,Best Case (Dec 2020),0.82
07/01/2022,LIRR,Midpoint (Dec 2020),0.745
07/01/2022,LIRR,Worst Case (Dec 2020),0.67
07/01/2022,LIRR,Best Case (Apr 2022),0.597
07/01/2022,LIRR,Midpoint (Apr 2022),0.5763
07/01/2022,LIRR,Worst Case (Apr 2022),0.556
07/01/2022,MNR,Best Case (Dec 2020),0.79
07/01/2022,MNR,Midpoint (Dec 2020),0.705
07/01/2022,MNR,Worst Case (Dec 2020),0.62
07/01/2022,MNR,Best Case (Apr 2022),0.549
07/01/2022,MNR,Midpoint (Apr 2022),0.5315
07/01/2022,MNR,Worst Case (Apr 2022),0.514
07/01/2022,SIR,Best Case (Dec 2020),0.88
07/01/2022,SIR,Midpoint (Dec 2020),0.825
07/01/2022,SIR,Worst Case (Dec 2020),0.77
07/01/2022,SIR,Best Case (Apr 2022),0.625
07/01/2022,SIR,Midpoint (Apr 2022),0.5893
07/01/2022,SIR,Worst Case (Apr 2022),0.589
07/01/2022,BT,Best Case (May 2020),1
07/01/2022,BT,Midpoint (May 2020),0.95
07/01/2022,BT,Worst Case (May 2020),0.9
07/01/2022,BT,Best Case (Nov 2020),1
07/01/2022,BT,Midpoint (Nov 2020),0.97
07/01/2022,BT,Worst Case (Nov 2020),0.94
07/01/2022,BT,Best Case (Dec 2020),1
07/01/2022,BT,Midpoint (Dec 2020),0.97
07/01/2022,BT,Worst Case (Dec 2020),0.94
07/01/2022,MTA Consolidated,Best Case (May 2020),1
07/01/2022,MTA Consolidated,Midpoint (May 2020),0.825
07/01/2022,MTA Consolidated,Worst Case (May 2020),0.65
07/01/2022,MTA Consolidated,Best Case (Nov 2020),0.87
07/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.745
07/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.62
07/01/2022,MTA Consolidated,Best Case (Dec 2020),0.88
07/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.82
07/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.76
07/01/2022,MTA Consolidated,Best Case (Apr 2022),0.6317
07/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.6119
07/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.592
08/01/2022,Subway,Best Case (Dec 2020),0.88
08/01/2022,Subway,Midpoint (Dec 2020),0.825
08/01/2022,Subway,Worst Case (Dec 2020),0.77
08/01/2022,Subway,Best Case (Apr 2022),0.638
08/01/2022,Subway,Midpoint (Apr 2022),0.6166
08/01/2022,Subway,Worst Case (Apr 2022),0.595
08/01/2022,Bus,Best Case (Dec 2020),0.88
08/01/2022,Bus,Midpoint (Dec 2020),0.83
08/01/2022,Bus,Worst Case (Dec 2020),0.78
08/01/2022,Bus,Best Case (Apr 2022),0.681
08/01/2022,Bus,Midpoint (Apr 2022),0.6523
08/01/2022,Bus,Worst Case (Apr 2022),0.623
08/01/2022,LIRR,Best Case (Dec 2020),0.82
08/01/2022,LIRR,Midpoint (Dec 2020),0.745
08/01/2022,LIRR,Worst Case (Dec 2020),0.67
08/01/2022,LIRR,Best Case (Apr 2022),0.612
08/01/2022,LIRR,Midpoint (Apr 2022),0.5885
08/01/2022,LIRR,Worst Case (Apr 2022),0.565
08/01/2022,MNR,Best Case (Dec 2020),0.79
08/01/2022,MNR,Midpoint (Dec 2020),0.705
08/01/2022,MNR,Worst Case (Dec 2020),0.62
08/01/2022,MNR,Best Case (Apr 2022),0.562
08/01/2022,MNR,Midpoint (Apr 2022),0.5416
08/01/2022,MNR,Worst Case (Apr 2022),0.521
08/01/2022,SIR,Best Case (Dec 2020),0.88
08/01/2022,SIR,Midpoint (Dec 2020),0.825
08/01/2022,SIR,Worst Case (Dec 2020),0.77
08/01/2022,SIR,Best Case (Apr 2022),0.638
08/01/2022,SIR,Midpoint (Apr 2022),0.5954
08/01/2022,SIR,Worst Case (Apr 2022),0.595
08/01/2022,BT,Best Case (May 2020),1
08/01/2022,BT,Midpoint (May 2020),0.975
08/01/2022,BT,Worst Case (May 2020),0.95
08/01/2022,BT,Best Case (Nov 2020),1
08/01/2022,BT,Midpoint (Nov 2020),0.97
08/01/2022,BT,Worst Case (Nov 2020),0.94
08/01/2022,BT,Best Case (Dec 2020),1
08/01/2022,BT,Midpoint (Dec 2020),0.97
08/01/2022,BT,Worst Case (Dec 2020),0.94
08/01/2022,MTA Consolidated,Best Case (May 2020),1
08/01/2022,MTA Consolidated,Midpoint (May 2020),0.85
08/01/2022,MTA Consolidated,Worst Case (May 2020),0.7
08/01/2022,MTA Consolidated,Best Case (Nov 2020),0.87
08/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.745
08/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.62
08/01/2022,MTA Consolidated,Best Case (Dec 2020),0.88
08/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.82
08/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.76
08/01/2022,MTA Consolidated,Best Case (Apr 2022),0.645
08/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.6217
08/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.5984
09/01/2022,Subway,Best Case (Dec 2020),0.88
09/01/2022,Subway,Midpoint (Dec 2020),0.825
09/01/2022,Subway,Worst Case (Dec 2020),0.77
09/01/2022,Subway,Best Case (Apr 2022),0.651
09/01/2022,Subway,Midpoint (Apr 2022),0.6261
09/01/2022,Subway,Worst Case (Apr 2022),0.602
09/01/2022,Bus,Best Case (Dec 2020),0.88
09/01/2022,Bus,Midpoint (Dec 2020),0.83
09/01/2022,Bus,Worst Case (Dec 2020),0.78
09/01/2022,Bus,Best Case (Apr 2022),0.696
09/01/2022,Bus,Midpoint (Apr 2022),0.6624
09/01/2022,Bus,Worst Case (Apr 2022),0.629
09/01/2022,LIRR,Best Case (Dec 2020),0.82
09/01/2022,LIRR,Midpoint (Dec 2020),0.745
09/01/2022,LIRR,Worst Case (Dec 2020),0.67
09/01/2022,LIRR,Best Case (Apr 2022),0.627
09/01/2022,LIRR,Midpoint (Apr 2022),0.6008
09/01/2022,LIRR,Worst Case (Apr 2022),0.574
09/01/2022,MNR,Best Case (Dec 2020),0.79
09/01/2022,MNR,Midpoint (Dec 2020),0.705
09/01/2022,MNR,Worst Case (Dec 2020),0.62
09/01/2022,MNR,Best Case (Apr 2022),0.576
09/01/2022,MNR,Midpoint (Apr 2022),0.5516
09/01/2022,MNR,Worst Case (Apr 2022),0.527
09/01/2022,SIR,Best Case (Dec 2020),0.88
09/01/2022,SIR,Midpoint (Dec 2020),0.825
09/01/2022,SIR,Worst Case (Dec 2020),0.77
09/01/2022,SIR,Best Case (Apr 2022),0.651
09/01/2022,SIR,Midpoint (Apr 2022),0.6016
09/01/2022,SIR,Worst Case (Apr 2022),0.602
09/01/2022,BT,Best Case (May 2020),1
09/01/2022,BT,Midpoint (May 2020),1
09/01/2022,BT,Worst Case (May 2020),1
09/01/2022,BT,Best Case (Nov 2020),1
09/01/2022,BT,Midpoint (Nov 2020),0.97
09/01/2022,BT,Worst Case (Nov 2020),0.94
09/01/2022,BT,Best Case (Dec 2020),1
09/01/2022,BT,Midpoint (Dec 2020),0.97
09/01/2022,BT,Worst Case (Dec 2020),0.94
09/01/2022,MTA Consolidated,Best Case (May 2020),1
09/01/2022,MTA Consolidated,Midpoint (May 2020),0.875
09/01/2022,MTA Consolidated,Worst Case (May 2020),0.75
09/01/2022,MTA Consolidated,Best Case (Nov 2020),0.87
09/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.745
09/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.62
09/01/2022,MTA Consolidated,Best Case (Dec 2020),0.88
09/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.82
09/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.76
09/01/2022,MTA Consolidated,Best Case (Apr 2022),0.6582
09/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.6315
09/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.6047
10/01/2022,Subway,Best Case (Dec 2020),0.91
10/01/2022,Subway,Midpoint (Dec 2020),0.855
10/01/2022,Subway,Worst Case (Dec 2020),0.8
10/01/2022,Subway,Best Case (Apr 2022),0.675
10/01/2022,Subway,Midpoint (Apr 2022),0.6461
10/01/2022,Subway,Worst Case (Apr 2022),0.617
10/01/2022,Bus,Best Case (Dec 2020),0.9
10/01/2022,Bus,Midpoint (Dec 2020),0.855
10/01/2022,Bus,Worst Case (Dec 2020),0.81
10/01/2022,Bus,Best Case (Apr 2022),0.723
10/01/2022,Bus,Midpoint (Apr 2022),0.6838
10/01/2022,Bus,Worst Case (Apr 2022),0.644
10/01/2022,LIRR,Best Case (Dec 2020),0.85
10/01/2022,LIRR,Midpoint (Dec 2020),0.775
10/01/2022,LIRR,Worst Case (Dec 2020),0.7
10/01/2022,LIRR,Best Case (Apr 2022),0.652
10/01/2022,LIRR,Midpoint (Apr 2022),0.6217
10/01/2022,LIRR,Worst Case (Apr 2022),0.592
10/01/2022,MNR,Best Case (Dec 2020),0.83
10/01/2022,MNR,Midpoint (Dec 2020),0.74
10/01/2022,MNR,Worst Case (Dec 2020),0.65
10/01/2022,MNR,Best Case (Apr 2022),0.595
10/01/2022,MNR,Midpoint (Apr 2022),0.5676
10/01/2022,MNR,Worst Case (Apr 2022),0.54
10/01/2022,SIR,Best Case (Dec 2020),0.91
10/01/2022,SIR,Midpoint (Dec 2020),0.855
10/01/2022,SIR,Worst Case (Dec 2020),0.8
10/01/2022,SIR,Best Case (Apr 2022),0.675
10/01/2022,SIR,Midpoint (Apr 2022),0.6172
10/01/2022,SIR,Worst Case (Apr 2022),0.617
10/01/2022,BT,Best Case (May 2020),1
10/01/2022,BT,Midpoint (May 2020),1
10/01/2022,BT,Worst Case (May 2020),1
10/01/2022,BT,Best Case (Nov 2020),1
10/01/2022,BT,Midpoint (Nov 2020),0.97
10/01/2022,BT,Worst Case (Nov 2020),0.94
10/01/2022,BT,Best Case (Dec 2020),1
10/01/2022,BT,Midpoint (Dec 2020),0.97
10/01/2022,BT,Worst Case (Dec 2020),0.94
10/01/2022,MTA Consolidated,Best Case (May 2020),1
10/01/2022,MTA Consolidated,Midpoint (May 2020),0.9
10/01/2022,MTA Consolidated,Worst Case (May 2020),0.8
10/01/2022,MTA Consolidated,Best Case (Nov 2020),0.89
10/01/2022,MTA Consolidated,Midpoint (Nov 2020),0.775
10/01/2022,MTA Consolidated,Worst Case (Nov 2020),0.66
10/01/2022,MTA Consolidated,Best Case (Dec 2020),0.9
10/01/2022,MTA Consolidated,Midpoint (Dec 2020),0.845
10/01/2022,MTA Consolidated,Worst Case (Dec 2020),0.79
10/01/2022,MTA Consolidated,Best Case (Apr 2022),0.6833
10/01/2022,MTA Consolidated,Midpoint (Apr 2022),0.6517
10/01/2022,MTA Consolidated,Worst Case (Apr 2022),0.6201
11/01/2022,Subway,Best Case (Dec 2020),0.91
11/01/2022,Subway,Midpoint (Dec 2020),0.855
11/01/2022,Subway,Worst Case (Dec 2020),0.8
11/01/2022,Subway,Best Case (Apr 2022),0.676
11/01/2022,Subway,Midpoint (Apr 2022),0.645
11/01/2022,Subway,Worst Case (Apr 2022),0.614
11/01/2022,Bus,Best Case (Dec 2020),0.9
11/01/2022,Bus,Midpoint (Dec 2020),0.855
11/01/2022,Bus,Worst Case (Dec 2020),0.81
11/01/2022,Bus,Best Case (Apr 2022),0.724
11/01/2022,Bus,Midpoint (Apr 2022),0.6826
11/01/2022,Bus,Worst Case (Apr 2022),0.642
11/01/2022,LIRR,Best Case (Dec 2020),0.85
11/01/2022,LIRR,Midpoint (Dec 2020),0.775
11/01/2022,LIRR,Worst Case (Dec 2020),0.7
11/01/2022,LIRR,Best Case (Apr 2022),0.658
11/01/2022,LIRR,Midpoint (Apr 2022),0.6253
11/01/2022,LIRR,Worst Case (Apr 2022),0.592
11/01/2022,MNR,Best Case (Dec 2020),0.83
11/01/2022,MNR,Midpoint (Dec 2020),0.74
11/01/2022,MNR,Worst Case (Dec 2020),0.65
11/01/2022,MNR,Best Case (Apr 2022),0.603
11/01/2022,MNR,Midpoint (Apr 2022),0.5717
11/01/2022,MNR,Worst Case (Apr 2022),0.541
11/01/2022,SIR,Best Case (Dec 2020),0.91
11/01/2022,SIR,Midpoint (Dec 2020),0.855
11/01/2022,SIR,Worst Case (Dec 2020),0.8
11/01/2022,SIR,Best Case (Apr 2022),0.676
11/01/2022,SIR,Midpoint (Apr 2022),0.6139
11/01/2022,SIR,Worst Case (Apr 2022),0.614
