Month,Borough,Monthly Miles,Monthly Road Call Count,Monthly MDBF
05/01/2022,Manhattan,1280659,317,4040
05/01/2022,Queens,4189158,592,7076
05/01/2022,Staten Island,2123307,102,20817
04/01/2022,Bronx,2162260,394,5488
04/01/2022,Brooklyn,2826320,340,8313
04/01/2022,Manhattan,1264850,251,5039
04/01/2022,Queens,4157461,515,8073
04/01/2022,Staten Island,2173211,82,26503
03/01/2022,Bronx,2262759,402,5629
03/01/2022,Brooklyn,2968317,390,7611
03/01/2022,Manhattan,1323664,317,4176
03/01/2022,Queens,4406438,577,7637
03/01/2022,Staten Island,2384059,95,25095
02/01/2022,Bronx,1975377,382,5171
02/01/2022,Brooklyn,2584897,338,7648
02/01/2022,Manhattan,1156507,260,4448
02/01/2022,Queens,3778488,534,7076
02/01/2022,Staten Island,2053192,94,21842
01/01/2022,Bronx,2056564,440,4674
01/01/2022,Brooklyn,2671442,360,7421
01/01/2022,Manhattan,1185247,279,4248
01/01/2022,Queens,3921760,576,6809
01/01/2022,Staten Island,2021539,125,16172
12/01/2021,Bronx,2095493,361,5805
12/01/2021,Brooklyn,2741573,287,9553
12/01/2021,Manhattan,1209209,216,5598
12/01/2021,Queens,4036695,495,8155
12/01/2021,Staten Island,2104853,82,25669
11/01/2021,Bronx,2101454,318,6608
11/01/2021,Brooklyn,2737017,308,8886
11/01/2021,Manhattan,1229116,260,4727
11/01/2021,Queens,4016518,487,8247
11/01/2021,Staten Island,2082284,76,27398
10/01/2021,Bronx,2119995,421,5036
10/01/2021,Brooklyn,2822760,380,7428
10/01/2021,Manhattan,1243174,293,4243
10/01/2021,Queens,4149002,543,7641
10/01/2021,Staten Island,2144382,103,20819
09/01/2021,Bronx,2057001,448,4592
09/01/2021,Brooklyn,2720023,357,7619
09/01/2021,Manhattan,1216473,313,3886
09/01/2021,Queens,3967749,595,6668
09/01/2021,Staten Island,2065904,116,17810
08/01/2021,Bronx,2101019,479,4386
08/01/2021,Brooklyn,2801961,423,6624
08/01/2021,Manhattan,1233982,357,3457
08/01/2021,Queens,4017283,665,6041
08/01/2021,Staten Island,2105705,103,20444
07/01/2021,Bronx,2125262,448,4744
07/01/2021,Brooklyn,2798494,395,7085
07/01/2021,Manhattan,1271180,293,4338
07/01/2021,Queens,4001941,672,5955
07/01/2021,Staten Island,2086236,107,19498
06/01/2021,Bronx,2075118,524,3960
06/01/2021,Brooklyn,2757397,409,6742
06/01/2021,Manhattan,1233709,307,4019
06/01/2021,Queens,4061671,621,6541
06/01/2021,Staten Island,2142914,98,21866
05/01/2021,Bronx,2133826,417,5117
05/01/2021,Brooklyn,2805590,297,9446
05/01/2021,Manhattan,1293434,252,5133
05/01/2021,Queens,4082538,526,7761
05/01/2021,Staten Island,2079424,79,26322
04/01/2021,Bronx,2160081,333,6487
04/01/2021,Brooklyn,2814252,285,9875
04/01/2021,Manhattan,1308251,237,5520
04/01/2021,Queens,4158465,510,8154
04/01/2021,Staten Island,2210241,84,26312
03/01/2021,Bronx,2266211,373,6076
03/01/2021,Brooklyn,2941327,314,9367
03/01/2021,Manhattan,1384701,246,5629
03/01/2021,Queens,4356278,535,8143
03/01/2021,Staten Island,2305576,83,27778
02/01/2021,Bronx,1913829,308,6214
02/01/2021,Brooklyn,2470128,276,8950
02/01/2021,Manhattan,1170119,244,4796
02/01/2021,Queens,3587245,489,7336
02/01/2021,Staten Island,1927488,95,20289
01/01/2021,Bronx,2196693,369,5953
01/01/2021,Brooklyn,2852504,273,10449
01/01/2021,Manhattan,1358110,238,5706
01/01/2021,Queens,4060533,469,8658
01/01/2021,Staten Island,2150523,84,25601
12/01/2020,Bronx,2172429,332,6543
12/01/2020,Brooklyn,2772382,325,8530
12/01/2020,Manhattan,1315077,264,4981
12/01/2020,Queens,3987337,476,8377
12/01/2020,Staten Island,2178779,67,32519
11/01/2020,Bronx,2141160,346,6188
11/01/2020,Brooklyn,2818721,306,9212
11/01/2020,Manhattan,1294204,243,5326
11/01/2020,Queens,3975792,449,8855
11/01/2020,Staten Island,2094446,72,29090
10/01/2020,Bronx,2316868,350,6620
10/01/2020,Brooklyn,2990612,307,9741
10/01/2020,Manhattan,1362387,247,5516
10/01/2020,Queens,4307816,490,8791
10/01/2020,Staten Island,2311909,82,28194
09/01/2020,Bronx,2196220,406,5409
09/01/2020,Brooklyn,2800798,315,8891
09/01/2020,Manhattan,1315654,245,5370
09/01/2020,Queens,4109400,496,8285
09/01/2020,Staten Island,2204631,74,29792
08/01/2020,Bronx,2212010,468,4727
08/01/2020,Brooklyn,2811511,408,6891
08/01/2020,Manhattan,1346267,314,4287
08/01/2020,Queens,4143683,605,6849
08/01/2020,Staten Island,2201582,90,24462
07/01/2020,Bronx,2255411,507,4449
07/01/2020,Brooklyn,2848349,430,6624
07/01/2020,Manhattan,1366272,363,3764
07/01/2020,Queens,4278834,658,6503
07/01/2020,Staten Island,2290007,130,17615
06/01/2020,Bronx,2166700,423,5122
06/01/2020,Brooklyn,2738189,342,8006
06/01/2020,Manhattan,1148606,243,4727
06/01/2020,Queens,4001289,556,7197
06/01/2020,Staten Island,1960072,115,17044
05/01/2020,Bronx,1770833,252,7027
05/01/2020,Brooklyn,2296379,256,8970
05/01/2020,Manhattan,1170272,176,6649
05/01/2020,Queens,3134915,332,9443
05/01/2020,Staten Island,1012062,29,34899
04/01/2020,Bronx,1644547,163,10089
04/01/2020,Brooklyn,1953089,167,11695
04/01/2020,Manhattan,1076402,140,7689
04/01/2020,Queens,2942781,282,10435
04/01/2020,Staten Island,1278915,34,37615
03/01/2020,Bronx,2153295,313,6880
03/01/2020,Brooklyn,2808334,267,10518
03/01/2020,Manhattan,1293892,198,6535
03/01/2020,Queens,4116933,462,8911
03/01/2020,Staten Island,2187276,85,25733
02/01/2020,Bronx,2083387,298,6991
02/01/2020,Brooklyn,2823591,334,8454
02/01/2020,Manhattan,1265517,191,6626
02/01/2020,Queens,4015574,469,8562
02/01/2020,Staten Island,2171656,83,26165
01/01/2020,Bronx,2252192,311,7242
01/01/2020,Brooklyn,3047764,328,9292
01/01/2020,Manhattan,1349472,214,6306
01/01/2020,Queens,4359321,516,8448
01/01/2020,Staten Island,2345618,93,25222
12/01/2019,Bronx,2168193,331,6550
12/01/2019,Brooklyn,2966767,390,7607
12/01/2019,Manhattan,1294350,256,5056
12/01/2019,Queens,4212175,588,7164
12/01/2019,Staten Island,2261315,93,24315
11/01/2019,Bronx,2118463,318,6662
11/01/2019,Brooklyn,2973236,304,9780
11/01/2019,Manhattan,1281637,312,4108
11/01/2019,Queens,4093688,468,8747
11/01/2019,Staten Island,2226688,96,23195
10/01/2019,Bronx,2270752,342,6640
10/01/2019,Brooklyn,3100107,340,9118
10/01/2019,Manhattan,1343811,267,5033
10/01/2019,Queens,4448162,568,7831
10/01/2019,Staten Island,2434749,105,23188
09/01/2019,Bronx,2136816,285,7498
09/01/2019,Brooklyn,2929586,300,9765
09/01/2019,Manhattan,1269087,241,5266
09/01/2019,Queens,4095364,545,7514
09/01/2019,Staten Island,2207339,106,20824
08/01/2019,Bronx,2281032,408,5591
08/01/2019,Brooklyn,3058179,333,9184
08/01/2019,Manhattan,1358608,298,4559
08/01/2019,Queens,4274463,602,7100
08/01/2019,Staten Island,2333747,130,17952
07/01/2019,Bronx,2271254,521,4359
07/01/2019,Brooklyn,3019186,428,7054
07/01/2019,Manhattan,1345436,387,3477
07/01/2019,Queens,4230411,719,5884
07/01/2019,Staten Island,2319340,109,21278
06/01/2019,Bronx,2156148,431,5003
06/01/2019,Brooklyn,2918788,353,8269
06/01/2019,Manhattan,1293139,316,4092
06/01/2019,Queens,4071182,595,6842
06/01/2019,Staten Island,2195935,129,17023
05/01/2019,Bronx,2265664,378,5994
05/01/2019,Brooklyn,3079340,364,8460
05/01/2019,Manhattan,1344239,324,4149
05/01/2019,Queens,4402487,652,6752
05/01/2019,Staten Island,2359037,142,16613
04/01/2019,Bronx,2228578,370,6023
04/01/2019,Brooklyn,3067054,307,9990
04/01/2019,Manhattan,1337961,267,5011
04/01/2019,Queens,4272962,561,7617
04/01/2019,Staten Island,2325914,96,24228
03/01/2019,Bronx,2261454,356,6352
03/01/2019,Brooklyn,3170629,340,9325
03/01/2019,Manhattan,1346364,281,4791
03/01/2019,Queens,4306572,558,7718
03/01/2019,Staten Island,2333143,96,24304
02/01/2019,Bronx,2085271,287,7266
02/01/2019,Brooklyn,2858320,321,8904
02/01/2019,Manhattan,1236279,238,5194
02/01/2019,Queens,3882910,455,8534
02/01/2019,Staten Island,2150685,87,24721
01/01/2019,Bronx,2283546,357,6396
01/01/2019,Brooklyn,3138135,395,7945
01/01/2019,Manhattan,1370075,361,3795
01/01/2019,Queens,4332782,593,7307
01/01/2019,Staten Island,2356041,97,24289
12/01/2018,Bronx,2204390,311,7088
12/01/2018,Brooklyn,2995777,337,8890
12/01/2018,Manhattan,1295358,258,5021
12/01/2018,Queens,4121884,560,7361
12/01/2018,Staten Island,2188151,92,23784
11/01/2018,Bronx,2155099,375,5747
11/01/2018,Brooklyn,2938475,432,6802
11/01/2018,Manhattan,1275228,284,4490
11/01/2018,Queens,4109623,552,7445
11/01/2018,Staten Island,2188657,107,20455
10/01/2018,Bronx,2333317,461,5061
10/01/2018,Brooklyn,3138196,427,7349
10/01/2018,Manhattan,1353127,311,4351
10/01/2018,Queens,4456205,562,7929
10/01/2018,Staten Island,2385354,113,21109
09/01/2018,Bronx,2172045,462,4701
09/01/2018,Brooklyn,2864192,461,6213
09/01/2018,Manhattan,1271294,338,3761
09/01/2018,Queens,4025165,615,6545
09/01/2018,Staten Island,2114140,97,21795
08/01/2018,Bronx,2340352,516,4536
08/01/2018,Brooklyn,3019451,566,5335
08/01/2018,Manhattan,1375044,352,3906
08/01/2018,Queens,4295373,618,6950
08/01/2018,Staten Island,2277867,147,15496
07/01/2018,Bronx,2262795,573,3949
07/01/2018,Brooklyn,3004214,565,5317
07/01/2018,Manhattan,1336728,362,3693
07/01/2018,Queens,4159363,595,6991
07/01/2018,Staten Island,2120757,132,16066
06/01/2018,Bronx,2189201,500,4378
06/01/2018,Brooklyn,2956833,462,6400
06/01/2018,Manhattan,1304824,360,3625
06/01/2018,Queens,4163032,570,7304
06/01/2018,Staten Island,2087929,97,21525
05/01/2018,Bronx,2276864,549,4147
05/01/2018,Brooklyn,3051146,592,5154
05/01/2018,Manhattan,1358551,380,3575
05/01/2018,Queens,4324345,679,6369
05/01/2018,Staten Island,2196697,134,16393
04/01/2018,Bronx,2222685,475,4679
04/01/2018,Brooklyn,2976965,447,6660
04/01/2018,Manhattan,1308467,328,3989
04/01/2018,Queens,4192118,561,7473
04/01/2018,Staten Island,2129367,89,23925
03/01/2018,Bronx,2253522,466,4836
03/01/2018,Brooklyn,3049579,454,6717
03/01/2018,Manhattan,1344251,361,3724
03/01/2018,Queens,4286241,602,7120
03/01/2018,Staten Island,2211582,122,18128
02/01/2018,Bronx,2041278,490,4166
02/01/2018,Brooklyn,2780249,370,7514
02/01/2018,Manhattan,1236652,334,3703
02/01/2018,Queens,3886838,456,8524
02/01/2018,Staten Island,1984837,103,19270
01/01/2018,Bronx,2247026,585,3841
01/01/2018,Brooklyn,3014508,522,5775
