month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Bronx,EXP,BXM18,Peak,3573.5886,1.8782365,-1.1284697,0.76438546
2025-01-01,Bronx,EXP,BXM2,Off-Peak,9224.342,4.705835,0.34952086,0.5988515
2025-01-01,Bronx,EXP,BXM2,Peak,5864.903,3.5038548,-0.95581144,0.64364934
2025-01-01,Bronx,EXP,BXM3,Off-Peak,9490.965,4.3576155,3.5241334,0.4998533
2025-01-01,Bronx,EXP,BXM3,Peak,9244.103,4.112249,1.9299697,0.52874446
2025-01-01,Bronx,EXP,BXM4,Off-Peak,6051.6743,6.689189,0.06285951,0.61542654
2025-01-01,Bronx,EXP,BXM4,Peak,4823.542,5.2881556,-4.7342205,0.74557287
2025-01-01,Bronx,EXP,BXM6,Off-Peak,6773.4297,3.3162394,-5.41008,0.8649479
2025-01-01,Bronx,EXP,BXM6,Peak,6487.7085,1.8480743,-6.6183224,0.89500713
2025-01-01,Bronx,EXP,BXM7,Off-Peak,34507.4,2.374794,-0.029832507,0.6964358
2025-01-01,Bronx,EXP,BXM7,Peak,21703.02,2.1843083,1.9075934,0.58596426
2025-01-01,Bronx,EXP,BXM8,Off-Peak,19007.348,3.8798742,0.56641185,0.6505182
2025-01-01,Bronx,EXP,BXM8,Peak,18642.906,2.4018948,2.2353792,0.576015
2025-01-01,Bronx,EXP,BXM9,Off-Peak,22992.482,2.019073,-1.717466,0.72533154
2025-01-01,Bronx,EXP,BXM9,Peak,16236.149,1.8582675,-3.492437,0.7298796
2025-01-01,Brooklyn,LCL/LTD,B1,Off-Peak,298163.97,1.677958,0.40506196,0.7264001
2025-01-01,Brooklyn,LCL/LTD,B1,Peak,195213,2.1215858,0.43040615,0.707717
2025-01-01,Brooklyn,LCL/LTD,B100,Off-Peak,78360.98,1.8029959,2.1171284,0.6655901
2025-01-01,Brooklyn,LCL/LTD,B100,Peak,79749.195,1.766046,2.4162664,0.6427045
2025-01-01,Brooklyn,LCL/LTD,B103,Off-Peak,212793.47,3.1122057,0.36674508,0.67390877
2025-01-01,Brooklyn,LCL/LTD,B103,Peak,153527.73,2.836596,0.17345148,0.70385915
2025-01-01,Brooklyn,LCL/LTD,B11,Off-Peak,141329.45,2.4096198,0.21650481,0.6923114
2025-01-01,Brooklyn,LCL/LTD,B11,Peak,100157.164,2.3904893,0.41076925,0.68252224
2025-01-01,Brooklyn,LCL/LTD,B12,Off-Peak,205246.73,2.7014604,-1.2585464,0.74520886
2025-01-01,Brooklyn,LCL/LTD,B12,Peak,131856.81,2.9709687,-1.0961257,0.72503936
2025-01-01,Brooklyn,LCL/LTD,B13,Off-Peak,110118.766,2.8420308,0.61311275,0.6687597
2025-01-01,Brooklyn,LCL/LTD,B13,Peak,81681.48,2.757495,0.99752367,0.6467545
2025-01-01,Brooklyn,LCL/LTD,B14,Off-Peak,95079.91,3.8648832,0.5233468,0.65357935
2025-01-01,Brooklyn,LCL/LTD,B14,Peak,66654.3,3.1974568,0.15213516,0.66214556
2025-01-01,Brooklyn,LCL/LTD,B15,Off-Peak,275211,2.897138,0.76834273,0.64490145
2025-01-01,Brooklyn,LCL/LTD,B15,Peak,156493.89,3.0037594,0.41406134,0.65455276
2025-01-01,Brooklyn,LCL/LTD,B16,Off-Peak,104098.664,3.22394,0.6715399,0.65694404
2025-01-01,Brooklyn,LCL/LTD,B16,Peak,83035.17,2.9116066,0.38692752,0.661104
2025-01-01,Brooklyn,LCL/LTD,B17,Off-Peak,139763.45,2.538777,-0.37667415,0.72661585
2025-01-01,Brooklyn,LCL/LTD,B17,Peak,104220.82,2.9756727,-0.8098168,0.715896
2025-01-01,Brooklyn,LCL/LTD,B2,Off-Peak,22258.88,1.6169248,-0.4507041,0.83357525
2025-01-01,Brooklyn,LCL/LTD,B2,Peak,21415.781,1.3613935,-0.31348923,0.8019035
2025-01-01,Brooklyn,LCL/LTD,B20,Off-Peak,119420.266,2.517367,-0.20454623,0.7172297
2025-01-01,Brooklyn,LCL/LTD,B20,Peak,87776.01,2.343952,-0.09381114,0.7120931
2025-01-01,Brooklyn,LCL/LTD,B24,Off-Peak,28377.043,4.662285,-0.28534162,0.67044055
2025-01-01,Brooklyn,LCL/LTD,B24,Peak,23610.703,4.056801,-0.5790821,0.6952641
2025-01-01,Brooklyn,LCL/LTD,B25,Off-Peak,130444.29,3.2113223,-0.91361547,0.7025999
2025-01-01,Brooklyn,LCL/LTD,B25,Peak,75692.36,2.9422832,-1.967079,0.75036424
2025-01-01,Brooklyn,LCL/LTD,B26,Off-Peak,111767.46,1.9499365,0.22487402,0.72167444
2025-01-01,Brooklyn,LCL/LTD,B26,Peak,84882.74,1.9255004,0.4365091,0.71121776
2025-01-01,Brooklyn,LCL/LTD,B3,Off-Peak,167400.84,2.2644153,0.6892165,0.6794467
2025-01-01,Brooklyn,LCL/LTD,B3,Peak,116407.2,2.9827235,0.7327151,0.648022
2025-01-01,Brooklyn,LCL/LTD,B31,Off-Peak,30299.488,2.0422356,0.07283614,0.82611156
2025-01-01,Brooklyn,LCL/LTD,B31,Peak,31290.768,1.717867,0.31407663,0.77011496
2025-01-01,Brooklyn,LCL/LTD,B32,Off-Peak,11711.821,7.700618,1.5335249,0.4920433
2025-01-01,Brooklyn,LCL/LTD,B32,Peak,12160.248,7.708657,1.0648658,0.5705503
