month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2020-01-01,Brooklyn,LCL/LTD,B100,Off-Peak,70972.36,1.0874782,2.0991638,0.7143888
2020-01-01,Brooklyn,LCL/LTD,B100,Peak,75315.375,1.3489469,2.4691083,0.65570104
2020-01-01,Brooklyn,LCL/LTD,B103,Off-Peak,210823.75,1.7525922,0.00033581888,0.75456756
2020-01-01,Brooklyn,LCL/LTD,B103,Peak,156961.52,1.6719906,0.2653962,0.76542485
2020-01-01,Brooklyn,LCL/LTD,B11,Off-Peak,169213.17,2.5046499,1.2264098,0.6535239
2020-01-01,Brooklyn,LCL/LTD,B11,Peak,125932.02,2.2282796,0.84979737,0.6705964
2020-01-01,Brooklyn,LCL/LTD,B12,Off-Peak,217750.53,2.500249,0.37382478,0.69292134
2020-01-01,Brooklyn,LCL/LTD,B12,Peak,133812.53,2.7156544,0.80296224,0.66407096
2020-01-01,Brooklyn,LCL/LTD,B13,Off-Peak,95584.54,2.1220522,0.80705494,0.74430597
2020-01-01,Brooklyn,LCL/LTD,B13,Peak,77505.7,2.1088667,1.3446641,0.67398894
2020-01-01,Brooklyn,LCL/LTD,B14,Off-Peak,98780.664,2.6451502,0.5847118,0.7001236
2020-01-01,Brooklyn,LCL/LTD,B14,Peak,69952.07,2.2940433,0.42442518,0.6834987
2020-01-01,Brooklyn,LCL/LTD,B15,Off-Peak,297382.4,2.4007206,1.160479,0.65816295
2020-01-01,Brooklyn,LCL/LTD,B15,Peak,166529.39,2.7381864,1.0988448,0.64390665
2020-01-01,Brooklyn,LCL/LTD,B16,Off-Peak,109360.54,2.0431435,0.4155826,0.74455684
2020-01-01,Brooklyn,LCL/LTD,B16,Peak,94793.85,1.982739,0.38033536,0.7250625
2020-01-01,Brooklyn,LCL/LTD,B17,Off-Peak,148813.05,1.712428,-0.054309748,0.77616924
2020-01-01,Brooklyn,LCL/LTD,B17,Peak,114010.79,2.2756689,0.0054290327,0.7252731
