month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,LCL/LTD,BX36,Peak,2096,12862.208,6.134604
2025-01-01,Bronx,2,LCL/LTD,BX36,Off-Peak,1125,7939.1777,7.0515833
2025-01-01,Bronx,2,LCL/LTD,BX36,Peak,440,3003.484,6.8148923
2025-01-01,Bronx,1,LCL/LTD,BX38,Off-Peak,1385,9980.193,7.205537
2025-01-01,Bronx,1,LCL/LTD,BX38,Peak,850,5897.292,6.932542
2025-01-01,Bronx,2,LCL/LTD,BX38,Off-Peak,373,2986.091,7.996899
2025-01-01,Bronx,2,LCL/LTD,BX38,Peak,168,1329.195,7.9000015
2025-01-01,Bronx,1,LCL/LTD,BX39,Off-Peak,2705,18905.484,6.98837
2025-01-01,Bronx,1,LCL/LTD,BX39,Peak,1392,9054.294,6.5027986
2025-01-01,Bronx,2,LCL/LTD,BX39,Off-Peak,810,6080.336,7.505293
2025-01-01,Bronx,2,LCL/LTD,BX39,Peak,352,2540.68,7.2125587
2025-01-01,Bronx,1,LCL/LTD,BX4,Off-Peak,1424,9096.234,6.3876576
2025-01-01,Bronx,1,LCL/LTD,BX4,Peak,682,3920.58,5.7464347
2025-01-01,Bronx,2,LCL/LTD,BX4,Off-Peak,383,2622.01,6.845041
2025-01-01,Bronx,2,LCL/LTD,BX4,Peak,148,983.445,6.625537
2025-01-01,Bronx,1,LCL/LTD,BX40,Off-Peak,2160,15588.728,7.216131
2025-01-01,Bronx,1,LCL/LTD,BX40,Peak,837,5423.634,6.478843
2025-01-01,Bronx,2,LCL/LTD,BX40,Off-Peak,574,4474.817,7.7863
2025-01-01,Bronx,2,LCL/LTD,BX40,Peak,207,1505.29,7.2548857
2025-01-01,Bronx,1,LCL/LTD,BX41,Off-Peak,1978,15520.8545,7.843983
2025-01-01,Bronx,1,LCL/LTD,BX41,Peak,739,5097.558,6.8937235
2025-01-01,Bronx,2,LCL/LTD,BX41,Off-Peak,644,5322.419,8.258499
2025-01-01,Bronx,2,LCL/LTD,BX41,Peak,245,1922.582,7.8211584
2025-01-01,Bronx,1,SBS,BX41+,Off-Peak,1759,15298.014,8.694371
2025-01-01,Bronx,1,SBS,BX41+,Peak,788,6559.243,8.3216095
2025-01-01,Bronx,2,SBS,BX41+,Off-Peak,439,4201.528,9.569323
2025-01-01,Bronx,2,SBS,BX41+,Peak,208,1986.027,9.523242
2025-01-01,Bronx,1,LCL/LTD,BX42,Off-Peak,2084,14785.435,7.0938063
2025-01-01,Bronx,1,LCL/LTD,BX42,Peak,880,5698.892,6.4719133
2025-01-01,Bronx,2,LCL/LTD,BX42,Off-Peak,560,4233.997,7.5560536
2025-01-01,Bronx,2,LCL/LTD,BX42,Peak,217,1596.036,7.3302417
2025-01-01,Bronx,1,LCL/LTD,BX46,Off-Peak,257,2779.806,10.775103
2025-01-01,Bronx,1,LCL/LTD,BX46,Peak,99,1016.335,10.204052
2025-01-01,Bronx,2,LCL/LTD,BX46,Off-Peak,75,866.421,11.468054
2025-01-01,Bronx,2,LCL/LTD,BX46,Peak,23,262.766,11.205239
2025-01-01,Bronx,1,LCL/LTD,BX4A,Off-Peak,983,6187.766,6.289467
2025-01-01,Bronx,1,LCL/LTD,BX4A,Peak,503,2930.399,5.815492
2025-01-01,Bronx,2,LCL/LTD,BX4A,Off-Peak,250,1690.468,6.754442
2025-01-01,Bronx,2,LCL/LTD,BX4A,Peak,112,730.103,6.469422
